序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额,更新时间
545,01873,维亚生物,1.55,0.02,1.31,1.57,1.57,1.53,1.53,1548000.0,2405080.0,2025-06-20 13:55:35
546,02502,金源氢化,0.39,0.005,1.3,0.39,0.39,0.39,0.385,86000.0,33540.0,2025-06-20 13:55:35
547,00895,东江环保,2.34,0.03,1.3,2.31,2.39,2.31,2.31,4070850.0,9575902.0,2025-06-20 13:55:35
548,06993,蓝月亮集团,3.89,0.05,1.3,3.75,3.9,3.75,3.84,975500.0,3762395.0,2025-06-20 13:55:35
549,01658,邮储银行,5.44,0.07,1.3,5.37,5.48,5.33,5.37,38164911.0,206283765.0,2025-06-20 13:55:35
550,02324,首都创投,0.157,0.002,1.29,0.156,0.158,0.156,0.155,170000.0,26650.0,2025-06-20 13:55:35
551,01709,德林控股,3.14,0.04,1.29,3.12,3.19,3.06,3.1,3697981.0,11520481.0,2025-06-20 13:55:35
552,08349,硅鑫集团,2.38,0.03,1.28,2.35,2.38,2.35,2.35,210000.0,498000.0,2025-06-20 13:55:35
553,01675,亚信科技,8.71,0.11,1.28,8.65,8.98,8.58,8.6,1480000.0,12943436.0,2025-06-20 13:55:35
554,02057,中通快递-W,134.6,1.7,1.28,134.8,135.4,133.5,132.9,591700.0,79718462.0,2025-06-20 13:55:35
555,00257,光大环境,3.98,0.05,1.27,3.89,3.99,3.89,3.93,7425249.0,29509241.0,2025-06-20 13:55:35
556,03991,长虹佳华,0.8,0.01,1.27,0.79,0.8,0.79,0.79,0.0,,2025-06-20 13:55:35
557,08622,华康生物医学,0.4,0.005,1.27,0.395,0.4,0.395,0.395,72000.0,28560.0,2025-06-20 13:55:35
558,01203,广南(集团),0.8,0.01,1.27,0.8,0.8,0.79,0.79,252000.0,201100.0,2025-06-20 13:55:35
559,03818,中国动向,0.4,0.005,1.27,0.4,0.4,0.395,0.395,536000.0,214170.0,2025-06-20 13:55:35
560,01766,中国中车,4.83,0.06,1.26,4.82,4.88,4.79,4.77,8239319.0,39932731.0,2025-06-20 13:55:35
561,00291,华润啤酒,24.1,0.3,1.26,23.8,24.1,23.75,23.8,5597914.0,134136596.0,2025-06-20 13:55:35
562,00211,STYLAND HOLD,0.243,0.003,1.25,0.241,0.243,0.241,0.24,80000.0,19350.0,2025-06-20 13:55:35
563,00423,经济日报集团,0.81,0.01,1.25,0.82,0.82,0.81,0.8,36000.0,29520.0,2025-06-20 13:55:35
564,03190,富邦沪深港高股息,14.58,0.18,1.25,14.41,14.6,14.4,14.4,131804.0,1906044.0,2025-06-20 13:55:35
565,03104,AGX亚洲,58.62,0.72,1.24,57.9,58.62,57.9,57.9,0.0,,2025-06-20 13:55:35
566,00921,海信家电,24.45,0.3,1.24,24.0,24.5,24.0,24.15,187000.0,4560425.0,2025-06-20 13:55:35
567,02410,同源康医药-B,16.38,0.2,1.24,16.54,16.62,15.56,16.18,1826000.0,29509900.0,2025-06-20 13:55:35
568,02633,雅各臣科研制药,1.63,0.02,1.24,1.6,1.64,1.6,1.61,286240.0,465357.0,2025-06-20 13:55:35
569,02039,中集集团,5.78,0.07,1.23,5.7,5.8,5.7,5.71,361742.0,2082762.0,2025-06-20 13:55:35
570,01916,江西银行,0.82,0.01,1.23,0.81,0.82,0.8,0.81,466000.0,378135.0,2025-06-20 13:55:35
571,00659,周大福创建,7.39,0.09,1.23,7.36,7.4,7.32,7.3,239747.0,1767517.0,2025-06-20 13:55:35
572,02836,安硕印度,41.24,0.5,1.23,40.7,41.24,40.7,40.74,6600.0,270080.0,2025-06-20 13:55:35
573,01999,敏华控股,4.11,0.05,1.23,4.09,4.15,4.08,4.06,1842800.0,7619612.0,2025-06-20 13:55:35
574,02377,博奇环保,0.82,0.01,1.23,0.83,0.83,0.81,0.81,2000.0,1640.0,2025-06-20 13:55:35
575,03139,AGX电车,57.88,0.7,1.22,57.8,57.88,57.8,57.18,20050.0,1160490.0,2025-06-20 13:55:35
576,00239,白花油,2.48,0.03,1.22,2.45,2.5,2.45,2.45,0.0,,2025-06-20 13:55:35
577,02263,富石金融,0.166,0.002,1.22,0.165,0.166,0.165,0.164,300000.0,49500.0,2025-06-20 13:55:35
578,07788,南方两倍做多英伟达,104.95,1.25,1.21,103.9,105.0,103.9,103.7,3580.0,372723.0,2025-06-20 13:55:35
579,01907,中国旭阳集团,2.53,0.03,1.2,2.51,2.56,2.5,2.5,9125000.0,22984500.0,2025-06-20 13:55:35
580,01286,鹰普精密,2.54,0.03,1.2,2.5,2.57,2.48,2.51,449000.0,1127640.0,2025-06-20 13:55:35
581,01982,南旋控股,0.84,0.01,1.2,0.83,0.84,0.83,0.83,238000.0,197580.0,2025-06-20 13:55:35
582,02342,京信通信,1.68,0.02,1.2,1.69,1.73,1.68,1.66,2164438.0,3689691.0,2025-06-20 13:55:35
583,01549,永丰集团控股,0.084,0.001,1.2,0.084,0.084,0.084,0.083,72000.0,6048.0,2025-06-20 13:55:35
584,02322,新质数字,0.42,0.005,1.2,0.425,0.43,0.42,0.415,1264000.0,534760.0,2025-06-20 13:55:35
585,09668,渤海银行,0.85,0.01,1.19,0.84,0.86,0.83,0.84,6964500.0,5909704.0,2025-06-20 13:55:35
586,00607,丰盛控股,0.425,0.005,1.19,0.42,0.425,0.42,0.42,0.0,,2025-06-20 13:55:35
587,06185,康希诺生物,33.9,0.4,1.19,33.5,34.2,33.2,33.5,330829.0,11171341.0,2025-06-20 13:55:35
588,00839,中教控股,2.56,0.03,1.19,2.54,2.59,2.53,2.53,3932000.0,10078829.0,2025-06-20 13:55:35
589,03039,易方达恒指ESG,3.442,0.04,1.18,3.428,3.442,3.428,3.402,89000.0,305344.0,2025-06-20 13:55:35
590,00775,长江生命科技,0.86,0.01,1.18,0.84,0.86,0.84,0.85,690000.0,589180.0,2025-06-20 13:55:35
591,00898,万事昌国际,0.86,0.01,1.18,0.86,0.86,0.86,0.85,6000.0,5160.0,2025-06-20 13:55:35
592,09889,东莞农商银行,3.44,0.04,1.18,3.4,3.44,3.4,3.4,6000.0,20600.0,2025-06-20 13:55:35
593,01919,中远海控,13.8,0.16,1.17,13.5,13.84,13.48,13.64,6249938.0,85670410.0,2025-06-20 13:55:35
594,00052,大快活集团,5.18,0.06,1.17,5.1,5.3,5.09,5.12,120500.0,616210.0,2025-06-20 13:55:35
595,03866,青岛银行,4.31,0.05,1.17,4.24,4.34,4.18,4.26,1276000.0,5434860.0,2025-06-20 13:55:35
596,08223,紫元元,1.73,0.02,1.17,1.73,1.79,1.7,1.71,880000.0,1528520.0,2025-06-20 13:55:35
597,01357,美图公司,7.75,0.09,1.17,7.6,7.85,7.6,7.66,24614928.0,190729172.0,2025-06-20 13:55:35
598,00855,中国水务,6.12,0.07,1.16,6.05,6.2,6.05,6.05,864000.0,5300280.0,2025-06-20 13:55:35
599,02385,读书郎,6.97,0.08,1.16,7.0,7.0,6.85,6.89,122400.0,847952.0,2025-06-20 13:55:35
600,01260,皓天财经集团,0.435,0.005,1.16,0.425,0.435,0.425,0.43,126000.0,53920.0,2025-06-20 13:55:35
601,03323,中国建材,3.52,0.04,1.15,3.48,3.54,3.48,3.48,6406679.0,22515484.0,2025-06-20 13:55:35
602,03108,嘉实ESG领,8.345,0.095,1.15,8.175,8.45,8.175,8.25,55000.0,457875.0,2025-06-20 13:55:35
603,00175,吉利汽车,16.02,0.18,1.14,16.0,16.16,15.9,15.84,26965540.0,432759280.0,2025-06-20 13:55:35
604,02386,中石化炼化工程,6.2,0.07,1.14,6.13,6.32,6.13,6.13,2299000.0,14344764.0,2025-06-20 13:55:35
605,02373,美丽田园医疗健康,22.25,0.25,1.14,22.0,23.0,21.75,22.0,1930500.0,42973425.0,2025-06-20 13:55:35
606,03056,A潘渡招商创新,21.24,0.24,1.14,21.16,21.24,21.16,21.0,2600.0,55040.0,2025-06-20 13:55:35
607,01810,小米集团-W,53.65,0.6,1.13,53.25,54.0,53.0,53.05,37080729.0,1983316560.0,2025-06-20 13:55:35
608,06601,朝云集团,2.68,0.03,1.13,2.66,2.73,2.66,2.65,1020000.0,2760060.0,2025-06-20 13:55:35
609,03115,安硕恒生指数,85.88,0.96,1.13,85.44,85.96,85.34,84.92,7800.0,668292.0,2025-06-20 13:55:35
610,02005,石四药集团,2.7,0.03,1.12,2.69,2.7,2.67,2.67,4908000.0,13163742.0,2025-06-20 13:55:35
611,08083,有赞,0.091,0.001,1.11,0.09,0.092,0.09,0.09,15217032.0,1382469.0,2025-06-20 13:55:35
612,02416,易点云,1.82,0.02,1.11,1.85,1.86,1.82,1.8,69000.0,126490.0,2025-06-20 13:55:35
613,06811,太兴集团,0.91,0.01,1.11,0.89,0.91,0.89,0.9,277000.0,250110.0,2025-06-20 13:55:35
614,01929,周大福,12.74,0.14,1.11,12.68,12.86,12.58,12.6,4468625.0,57081475.0,2025-06-20 13:55:35
615,00846,明发集团,0.091,0.001,1.11,0.09,0.092,0.09,0.09,100000.0,9130.0,2025-06-20 13:55:35
616,02507,西锐,41.5,0.45,1.1,42.35,42.6,41.25,41.05,792000.0,33240570.0,2025-06-20 13:55:35
617,02567,七牛智能,0.92,0.01,1.1,0.91,0.92,0.92,0.91,34000.0,31260.0,2025-06-20 13:55:35
618,01478,丘钛科技,7.34,0.08,1.1,7.3,7.7,7.3,7.26,3903010.0,29199648.0,2025-06-20 13:55:35
619,09010,安硕亚洲除日-U,7.79,0.085,1.1,7.755,7.79,7.755,7.705,40400.0,313879.0,2025-06-20 13:55:35
620,03037,南方恒指ETF,23.96,0.26,1.1,23.82,24.04,23.82,23.7,17500.0,419770.0,2025-06-20 13:55:35
621,80175,吉利汽车-R,14.66,0.16,1.1,14.6,14.7,14.6,14.5,21000.0,307280.0,2025-06-20 13:55:35
622,00267,中信股份,11.14,0.12,1.09,11.0,11.2,11.0,11.02,15342548.0,170777937.0,2025-06-20 13:55:35
623,00173,嘉华国际,1.85,0.02,1.09,1.84,1.85,1.83,1.83,543316.0,1000254.0,2025-06-20 13:55:35
624,03709,赢家时尚,7.39,0.08,1.09,7.35,7.4,7.31,7.31,495500.0,3646105.0,2025-06-20 13:55:35
625,01612,永胜医疗,0.47,0.005,1.08,0.465,0.475,0.45,0.465,324000.0,149950.0,2025-06-20 13:55:35
626,01850,鸿盛昌资源,0.187,0.002,1.08,0.185,0.189,0.185,0.185,210000.0,39130.0,2025-06-20 13:55:35
627,01536,煜荣集团,0.094,0.001,1.08,0.093,0.094,0.093,0.093,0.0,,2025-06-20 13:55:35
628,08158,中国再生医学,0.47,0.005,1.08,0.47,0.475,0.47,0.465,105000.0,49525.0,2025-06-20 13:55:35
629,01800,中国交通建设,5.13,0.055,1.08,5.12,5.14,5.1,5.075,7245627.0,37101866.0,2025-06-20 13:55:35
630,01083,港华智慧能源,3.79,0.04,1.07,3.75,3.82,3.75,3.75,5983000.0,22690745.0,2025-06-20 13:55:35
631,09979,绿城管理控股,2.83,0.03,1.07,2.8,2.85,2.8,2.8,1859000.0,5262730.0,2025-06-20 13:55:35
632,01385,上海复旦,28.6,0.3,1.06,28.35,29.15,28.35,28.3,1891000.0,54476600.0,2025-06-20 13:55:35
633,09958,力天影业,0.095,0.001,1.06,0.094,0.095,0.094,0.094,0.0,,2025-06-20 13:55:35
634,00778,置富产业信托,4.77,0.05,1.06,4.72,4.82,4.71,4.72,1992224.0,9508495.0,2025-06-20 13:55:35
635,00874,白云山,17.12,0.18,1.06,17.08,17.2,16.94,16.94,227200.0,3890608.0,2025-06-20 13:55:35
636,03658,新希望服务,1.91,0.02,1.06,1.9,1.91,1.9,1.89,4000.0,7620.0,2025-06-20 13:55:35
637,03010,安硕亚洲除日,61.1,0.64,1.06,60.58,61.2,60.58,60.46,171656.0,10451852.0,2025-06-20 13:55:35
638,01010,天玺曜11,0.096,0.001,1.05,0.099,0.099,0.096,0.095,308000.0,30318.0,2025-06-20 13:55:35
639,00722,联合医务,0.48,0.005,1.05,0.485,0.495,0.48,0.475,54000.0,26470.0,2025-06-20 13:55:35
640,07266,南方两倍做多纳斯达克100,25.1,0.26,1.05,25.0,25.1,25.0,24.84,16500.0,413894.0,2025-06-20 13:55:35
641,00107,四川成渝高速公路,4.81,0.05,1.05,4.74,4.84,4.72,4.76,994000.0,4765057.0,2025-06-20 13:55:35
642,01691,JS环球生活,1.95,0.02,1.04,1.93,1.97,1.93,1.93,4450000.0,8699267.0,2025-06-20 13:55:35
643,00598,中国外运,3.87,0.04,1.04,3.84,3.92,3.83,3.83,4375000.0,16995205.0,2025-06-20 13:55:35
644,00807,上海实业环境,0.97,0.01,1.04,0.96,0.97,0.95,0.96,161000.0,154930.0,2025-06-20 13:55:35
645,09666,金科服务,6.8,0.07,1.04,6.79,6.82,6.75,6.73,133400.0,905448.0,2025-06-20 13:55:35
646,00640,星谦发展,0.97,0.01,1.04,0.97,0.98,0.97,0.96,20000.0,19480.0,2025-06-20 13:55:35
647,02100,百奥家庭互动,0.485,0.005,1.04,0.48,0.485,0.48,0.48,72000.0,34660.0,2025-06-20 13:55:35
648,02333,长城汽车,11.74,0.12,1.03,11.62,11.82,11.62,11.62,4290021.0,50425774.0,2025-06-20 13:55:35
649,00612,鼎益丰控股,0.49,0.005,1.03,0.485,0.54,0.485,0.485,504000.0,256560.0,2025-06-20 13:55:35
650,03403,华夏恒ESG,49.28,0.5,1.03,49.28,49.28,49.28,48.78,10.0,492.0,2025-06-20 13:55:35
651,02155,森松国际,5.9,0.06,1.03,5.9,5.93,5.77,5.84,2755000.0,16044100.0,2025-06-20 13:55:35
652,01270,朗廷-SS,0.495,0.005,1.02,0.49,0.495,0.49,0.49,221000.0,109365.0,2025-06-20 13:55:35
653,01729,汇聚科技,7.01,0.07,1.01,6.92,7.25,6.92,6.94,3326000.0,23652160.0,2025-06-20 13:55:35
654,00412,山高控股,13.96,0.14,1.01,13.72,14.24,13.72,13.82,4424000.0,62155920.0,2025-06-20 13:55:35
655,01995,永升服务,2.0,0.02,1.01,2.01,2.01,1.98,1.98,592000.0,1182400.0,2025-06-20 13:55:35
656,80388,香港交易所-R,360.6,3.6,1.01,359.6,362.4,358.0,357.0,10800.0,3894280.0,2025-06-20 13:55:35
657,87001,汇贤产业信托,0.5,0.005,1.01,0.5,0.5,0.495,0.495,148000.0,73290.0,2025-06-20 13:55:35
658,08526,荣丰集团亚洲,0.1,0.001,1.01,0.099,0.1,0.099,0.099,0.0,,2025-06-20 13:55:35
659,09404,华夏印度-U,0.897,0.009,1.01,0.889,0.897,0.889,0.888,112400.0,100569.0,2025-06-20 13:55:35
660,00122,鳄鱼恤,2.0,0.02,1.01,2.0,2.0,2.0,1.98,20000.0,40000.0,2025-06-20 13:55:35
661,01308,海丰国际,25.25,0.25,1.0,24.95,25.3,24.8,25.0,1791669.0,44935484.0,2025-06-20 13:55:35
662,00215,和记电讯香港,1.01,0.01,1.0,1.0,1.01,0.99,1.0,2336000.0,2333900.0,2025-06-20 13:55:35
663,01600,天伦燃气,3.07,0.03,0.99,3.02,3.1,3.02,3.04,131500.0,404075.0,2025-06-20 13:55:35
664,02257,圣诺医药-B,4.1,0.04,0.99,4.15,4.21,4.03,4.06,76950.0,314394.0,2025-06-20 13:55:35
665,00069,香格里拉(亚洲),4.08,0.04,0.99,4.07,4.12,4.04,4.04,416327.0,1701345.0,2025-06-20 13:55:35
666,02096,先声药业,10.22,0.1,0.99,10.12,10.28,9.88,10.12,8827000.0,88936370.0,2025-06-20 13:55:35
667,00732,信利国际,1.02,0.01,0.99,1.01,1.02,1.01,1.01,286000.0,289140.0,2025-06-20 13:55:35
668,03047,F山证铁矿石,20.68,0.2,0.98,20.74,20.74,20.66,20.48,700.0,14470.0,2025-06-20 13:55:35
669,00388,香港交易所,393.6,3.8,0.97,389.6,396.6,389.4,389.8,3050874.0,1201020256.0,2025-06-20 13:55:35
670,03896,金山云,6.26,0.06,0.97,6.26,6.41,6.22,6.2,28633080.0,180548488.0,2025-06-20 13:55:35
671,09901,新东方-S,36.25,0.35,0.97,35.85,36.4,35.75,35.9,660561.0,23827468.0,2025-06-20 13:55:35
672,02431,佑驾创新,26.15,0.25,0.97,27.45,27.45,25.65,25.9,234800.0,6100240.0,2025-06-20 13:55:35
673,01038,长江基建集团,52.15,0.5,0.97,51.65,52.3,51.5,51.65,403025.0,20957525.0,2025-06-20 13:55:35
674,02689,玖龙纸业,3.11,0.03,0.97,3.07,3.12,3.07,3.08,630000.0,1955324.0,2025-06-20 13:55:35
675,00345,VITASOY INT'L,9.36,0.09,0.97,9.21,9.4,9.21,9.27,470373.0,4391496.0,2025-06-20 13:55:35
676,00905,胡桃资本,1.05,0.01,0.96,1.05,1.05,1.05,1.04,178500.0,187300.0,2025-06-20 13:55:35
677,09866,蔚来-SW,26.3,0.25,0.96,26.3,26.6,26.15,26.05,1662240.0,43856298.0,2025-06-20 13:55:35
678,00194,廖创兴企业,4.19,0.04,0.96,4.19,4.19,4.19,4.15,78000.0,326820.0,2025-06-20 13:55:35
679,02828,恒生中国企业,87.9,0.84,0.96,87.1,88.22,87.1,87.06,33879597.0,2973748112.0,2025-06-20 13:55:35
680,03996,中国能源建设,1.05,0.01,0.96,1.04,1.06,1.04,1.04,5628000.0,5911280.0,2025-06-20 13:55:35
681,09836,安硕印度-U,5.245,0.05,0.96,5.195,5.255,5.195,5.195,0.0,,2025-06-20 13:55:35
682,03050,GX中国全球领导,46.58,0.44,0.95,46.52,46.58,46.38,46.14,10250.0,476689.0,2025-06-20 13:55:35
683,00517,中远海运国际,5.29,0.05,0.95,5.2,5.29,5.2,5.24,874378.0,4600448.0,2025-06-20 13:55:35
684,02285,泉峰控股,14.8,0.14,0.95,14.66,14.96,14.66,14.66,291100.0,4313118.0,2025-06-20 13:55:35
685,03413,A都会人工智能,8.53,0.08,0.95,8.45,8.535,8.45,8.45,0.0,,2025-06-20 13:55:35
686,01117,现代牧业,1.06,0.01,0.95,1.05,1.06,1.05,1.05,3374960.0,3548148.0,2025-06-20 13:55:35
687,09104,AGX亚洲-U,7.46,0.07,0.95,7.39,7.46,7.39,7.39,0.0,,2025-06-20 13:55:35
688,09899,网易云音乐,235.0,2.2,0.95,232.0,237.6,228.8,232.8,468778.0,109603419.0,2025-06-20 13:55:35
689,00690,联康生物科技集团,0.106,0.001,0.95,0.107,0.107,0.105,0.105,2880000.0,304120.0,2025-06-20 13:55:35
690,00672,众安集团,0.107,0.001,0.94,0.106,0.108,0.106,0.106,1200600.0,128801.0,2025-06-20 13:55:35
691,83010,安硕亚洲除日-R,55.92,0.52,0.94,55.92,55.92,55.92,55.4,21200.0,1185504.0,2025-06-20 13:55:35
692,07226,南方两倍做多恒生科技,4.752,0.044,0.93,4.75,4.796,4.73,4.708,104982842.0,500552432.0,2025-06-20 13:55:35
693,01468,京基金融国际,0.216,0.002,0.93,0.215,0.226,0.214,0.214,6130000.0,1345180.0,2025-06-20 13:55:35
694,03404,华夏印度,7.035,0.065,0.93,6.97,7.035,6.965,6.97,117800.0,820772.0,2025-06-20 13:55:35
695,01900,中国智能交通,0.216,0.002,0.93,0.209,0.216,0.202,0.214,641000.0,134236.0,2025-06-20 13:55:35
696,02314,理文造纸,2.18,0.02,0.93,2.15,2.18,2.15,2.16,1306088.0,2832641.0,2025-06-20 13:55:35
697,02800,盈富基金,23.86,0.22,0.93,23.72,23.94,23.7,23.64,171857736.0,4097800688.0,2025-06-20 13:55:35
698,01896,猫眼娱乐,7.58,0.07,0.93,7.52,7.6,7.51,7.51,2536000.0,19134837.0,2025-06-20 13:55:35
699,03369,秦港股份,2.2,0.02,0.92,2.18,2.2,2.18,2.18,420000.0,917340.0,2025-06-20 13:55:35
700,00316,东方海外国际,132.2,1.2,0.92,130.6,132.9,129.6,131.0,170311.0,22456654.0,2025-06-20 13:55:35
701,09115,安硕恒生指数-U,10.92,0.1,0.92,10.82,10.96,10.82,10.82,0.0,,2025-06-20 13:55:35
702,00753,中国国航,5.48,0.05,0.92,5.45,5.52,5.4,5.43,7370000.0,40241016.0,2025-06-20 13:55:35
703,00817,中国金茂,1.11,0.01,0.91,1.09,1.12,1.09,1.1,22102000.0,24466100.0,2025-06-20 13:55:35
704,06069,盛业,11.12,0.1,0.91,11.0,11.42,11.0,11.02,5420000.0,60904964.0,2025-06-20 13:55:35
705,03606,福耀玻璃,55.5,0.5,0.91,54.95,55.75,54.95,55.0,1165800.0,64525968.0,2025-06-20 13:55:35
706,02008,凤凰卫视,1.11,0.01,0.91,1.1,1.11,1.1,1.1,0.0,,2025-06-20 13:55:35
707,03969,中国通号,3.38,0.03,0.9,3.37,3.38,3.35,3.35,762000.0,2568100.0,2025-06-20 13:55:35
708,06088,FIT HON TENG,2.25,0.02,0.9,2.25,2.32,2.24,2.23,13676617.0,31113256.0,2025-06-20 13:55:35
709,06690,海尔智家,22.7,0.2,0.89,22.5,22.9,22.45,22.5,6065443.0,137783430.0,2025-06-20 13:55:35
710,06806,申万宏源,2.3,0.02,0.88,2.27,2.31,2.27,2.28,7130400.0,16328764.0,2025-06-20 13:55:35
711,03110,GX恒生高股息率,27.5,0.24,0.88,27.2,27.54,27.2,27.26,593611.0,16216078.0,2025-06-20 13:55:35
712,83437,博时央企红利-R,8.575,0.075,0.88,8.6,8.6,8.575,8.5,6000.0,51575.0,2025-06-20 13:55:35
713,00439,光启科学,1.14,0.01,0.88,1.13,1.14,1.12,1.13,44000.0,49800.0,2025-06-20 13:55:35
714,00148,建滔集团,23.2,0.2,0.87,22.9,23.5,22.9,23.0,359258.0,8311572.0,2025-06-20 13:55:35
715,00689,长盈集团(控股),0.116,0.001,0.87,0.114,0.123,0.114,0.115,1201060.0,143076.0,2025-06-20 13:55:35
716,01788,国泰君安国际,1.16,0.01,0.87,1.15,1.16,1.14,1.15,9021000.0,10410750.0,2025-06-20 13:55:35
717,89888,百度集团-SWR,75.7,0.65,0.87,75.35,75.8,75.3,75.05,1250.0,94435.0,2025-06-20 13:55:35
718,02669,中海物业,5.23,0.045,0.87,5.24,5.26,5.19,5.185,1767066.0,9236310.0,2025-06-20 13:55:35
719,02111,超盈国际控股,2.31,0.02,0.87,2.28,2.32,2.26,2.29,181000.0,411950.0,2025-06-20 13:55:35
720,09801,安硕中国-U,3.03,0.026,0.87,3.018,3.03,3.018,3.004,1600.0,4838.0,2025-06-20 13:55:35
721,00880,澳博控股,2.32,0.02,0.87,2.31,2.32,2.3,2.3,2784637.0,6433717.0,2025-06-20 13:55:35
722,03172,A三星亚太元宇宙,19.79,0.17,0.87,19.8,19.8,19.79,19.62,16000.0,316800.0,2025-06-20 13:55:35
723,01258,中国有色矿业,6.94,0.06,0.87,6.87,7.0,6.87,6.88,4273700.0,29613038.0,2025-06-20 13:55:35
724,03419,A GX恒指备兑,10.56,0.09,0.86,10.49,10.57,10.49,10.47,72000.0,759225.0,2025-06-20 13:55:35
725,03119,GX亚洲半导体,65.5,0.56,0.86,65.36,65.5,65.36,64.94,4150.0,271673.0,2025-06-20 13:55:35
726,06676,找钢集团-W,3.53,0.03,0.86,3.54,3.63,3.46,3.5,584000.0,2090350.0,2025-06-20 13:55:35
727,83404,华夏印度-R,6.445,0.055,0.86,6.385,6.445,6.385,6.39,80300.0,514463.0,2025-06-20 13:55:35
728,01123,中港照相,0.119,0.001,0.85,0.118,0.119,0.118,0.118,0.0,,2025-06-20 13:55:35
729,06929,业聚医疗,3.57,0.03,0.85,3.68,3.68,3.57,3.54,38500.0,137320.0,2025-06-20 13:55:35
730,02423,贝壳-W,47.4,0.4,0.85,47.5,47.95,47.05,47.0,3181700.0,151096670.0,2025-06-20 13:55:35
731,02356,大新银行集团,8.33,0.07,0.85,8.26,8.38,8.24,8.26,776600.0,6458646.0,2025-06-20 13:55:35
732,01358,普华和顺,1.18,0.01,0.85,1.16,1.18,1.16,1.17,444000.0,519850.0,2025-06-20 13:55:35
733,00947,摩比发展,0.118,0.001,0.85,0.119,0.119,0.118,0.117,21000.0,2499.0,2025-06-20 13:55:35
734,01883,中信国际电讯,2.38,0.02,0.85,2.36,2.38,2.36,2.36,1511939.0,3584352.0,2025-06-20 13:55:35
735,00500,先丰服务集团,0.118,0.001,0.85,0.118,0.119,0.118,0.117,50000.0,5939.0,2025-06-20 13:55:35
736,00581,中国东方集团,1.18,0.01,0.85,1.17,1.2,1.17,1.17,1554000.0,1843446.0,2025-06-20 13:55:35
737,02309,大象未来集团,2.36,0.02,0.85,2.35,2.4,2.3,2.34,1894000.0,4463140.0,2025-06-20 13:55:35
738,09047,F山证铁矿石-U,2.636,0.022,0.84,2.614,2.646,2.614,2.614,0.0,,2025-06-20 13:55:35
739,01811,中广核新能源,2.39,0.02,0.84,2.37,2.41,2.37,2.37,2556000.0,6122502.0,2025-06-20 13:55:35
740,03978,卓越教育集团,4.79,0.04,0.84,4.73,4.88,4.72,4.75,490000.0,2354950.0,2025-06-20 13:55:35
741,01335,顺泰控股,0.121,0.001,0.83,0.134,0.134,0.12,0.12,356000.0,44104.0,2025-06-20 13:55:35
742,82800,盈富基金-R,21.84,0.18,0.83,21.74,21.9,21.74,21.66,102500.0,2241490.0,2025-06-20 13:55:35
743,01147,伊登软件,0.121,0.001,0.83,0.121,0.121,0.121,0.12,540000.0,65340.0,2025-06-20 13:55:35
744,01052,越秀交通基建,3.64,0.03,0.83,3.62,3.69,3.62,3.61,748269.0,2738516.0,2025-06-20 13:55:35
745,02348,东瑞制药,1.23,0.01,0.82,1.23,1.23,1.23,1.22,44000.0,54120.0,2025-06-20 13:55:35
746,03136,恒指ESGETF,12.33,0.1,0.82,12.29,12.33,12.29,12.23,61000.0,749690.0,2025-06-20 13:55:35
747,02328,中国财险,14.8,0.12,0.82,14.68,15.14,14.68,14.68,12737909.0,190570225.0,2025-06-20 13:55:35
748,81810,小米集团-WR,49.05,0.4,0.82,48.65,49.05,48.65,48.65,11695.0,570157.0,2025-06-20 13:55:35
749,00746,理文化工,3.7,0.03,0.82,3.67,3.7,3.67,3.67,96000.0,354900.0,2025-06-20 13:55:35
750,01055,中国南方航空股份,3.72,0.03,0.81,3.65,3.77,3.65,3.69,3084562.0,11506454.0,2025-06-20 13:55:35
751,09898,微博-SW,74.55,0.6,0.81,74.1,74.75,73.5,73.95,57100.0,4244751.0,2025-06-20 13:55:35
752,01283,高陞集团控股,1.26,0.01,0.8,1.25,1.3,1.25,1.25,475000.0,605550.0,2025-06-20 13:55:35
753,02256,和誉-B,10.08,0.08,0.8,10.18,10.22,9.84,10.0,586000.0,5883430.0,2025-06-20 13:55:35
754,00168,青岛啤酒股份,50.4,0.4,0.8,50.0,50.6,49.95,50.0,1846058.0,92915023.0,2025-06-20 13:55:35
755,00293,国泰航空,10.14,0.08,0.8,10.1,10.14,10.0,10.06,1795571.0,18094842.0,2025-06-20 13:55:35
756,02415,梅斯健康,1.26,0.01,0.8,1.29,1.29,1.26,1.25,29000.0,36547.0,2025-06-20 13:55:35
757,01456,国联民生,3.81,0.03,0.79,3.82,3.83,3.77,3.78,3452500.0,13118710.0,2025-06-20 13:55:35
758,00486,俄铝,3.83,0.03,0.79,3.75,3.85,3.75,3.8,107000.0,409790.0,2025-06-20 13:55:35
759,06668,星盛商业,1.27,0.01,0.79,1.27,1.27,1.27,1.26,27000.0,34290.0,2025-06-20 13:55:35
760,00658,中国高速传动,1.27,0.01,0.79,1.29,1.29,1.27,1.26,333000.0,425810.0,2025-06-20 13:55:35
761,03003,南方明晟A50,5.185,0.04,0.78,5.175,5.185,5.175,5.145,375000.0,1942120.0,2025-06-20 13:55:35
762,80020,商汤-WR,1.3,0.01,0.78,1.31,1.31,1.3,1.29,89000.0,116080.0,2025-06-20 13:55:35
