序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额,更新时间
433,08118,濠亮环球,0.062,0.001,1.64,0.061,0.062,0.061,0.061,0.0,,2025-06-20 13:55:35
434,01876,百威亚太,8.05,0.13,1.64,7.92,8.06,7.92,7.92,9464355.0,75841960.0,2025-06-20 13:55:35
435,00216,建业实业,0.62,0.01,1.64,0.61,0.62,0.61,0.61,0.0,,2025-06-20 13:55:35
436,02066,盛京银行,1.24,0.02,1.64,1.24,1.24,1.24,1.22,17500.0,21700.0,2025-06-20 13:55:35
437,01321,中国新城市,0.62,0.01,1.64,0.62,0.62,0.6,0.61,202000.0,123300.0,2025-06-20 13:55:35
438,08490,骏码半导体,0.125,0.002,1.63,0.125,0.125,0.125,0.123,65000.0,8125.0,2025-06-20 13:55:35
439,01346,利华控股集团,1.25,0.02,1.63,1.24,1.26,1.22,1.23,176000.0,217760.0,2025-06-20 13:55:35
440,09997,康基医疗,7.54,0.12,1.62,7.42,7.64,7.42,7.42,1947500.0,14736232.0,2025-06-20 13:55:35
441,01428,耀才证券金融,7.59,0.12,1.61,7.57,7.7,7.52,7.47,10908001.0,82852187.0,2025-06-20 13:55:35
442,02230,羚邦集团,0.315,0.005,1.61,0.31,0.32,0.31,0.31,2075000.0,652675.0,2025-06-20 13:55:35
443,06998,嘉和生物-B,2.53,0.04,1.61,2.56,2.56,2.51,2.49,328000.0,832935.0,2025-06-20 13:55:35
444,00218,申万宏源香港,1.27,0.02,1.6,1.25,1.27,1.25,1.25,255000.0,321500.0,2025-06-20 13:55:35
445,01071,华电国际电力股份,4.44,0.07,1.6,4.38,4.47,4.38,4.37,5182000.0,22990215.0,2025-06-20 13:55:35
446,02629,MIRXES-B,34.95,0.55,1.6,34.1,35.4,34.1,34.4,722000.0,25052345.0,2025-06-20 13:55:35
447,02339,京西国际,0.32,0.005,1.59,0.315,0.32,0.315,0.315,0.0,,2025-06-20 13:55:35
448,08050,量子思维,0.128,0.002,1.59,0.126,0.128,0.126,0.126,0.0,,2025-06-20 13:55:35
449,02367,巨子生物,51.05,0.8,1.59,50.75,51.8,50.2,50.25,6254512.0,318589856.0,2025-06-20 13:55:35
450,09913,智勤控股,2.55,0.04,1.59,2.5,2.61,2.5,2.51,248000.0,631120.0,2025-06-20 13:55:35
451,01655,OKURA HOLDINGS,0.128,0.002,1.59,0.138,0.138,0.128,0.126,5000.0,690.0,2025-06-20 13:55:35
452,01882,海天国际,19.16,0.3,1.59,18.9,19.22,18.84,18.86,346000.0,6620850.0,2025-06-20 13:55:35
