序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,更新时间
1,301678,N新恒汇,43.6,240.63,30.8,308715.0,1408883834.04,63.67,50.0,41.85,50.0,12.8,,67.83,50.88,5.35,10444618361.0,1984356903.0,-0.64,-0.95,240.63,240.63,2025-06-20 13:55:29
2,603400,N华之杰,58.75,195.52,38.87,133434.0,858415494.0,56.04,69.65,58.51,61.0,19.88,,68.09,33.15,4.8,5875000000.0,1151360410.0,-0.25,-0.54,195.52,195.52,2025-06-20 13:55:29
3,872895,花溪科技,52.52,30.0,12.12,42066.0,201641287.74,30.57,52.52,40.17,40.29,40.4,3.48,14.64,-251.19,15.18,2968640480.0,1509261988.0,0.0,0.0,228.87,333.69,2025-06-20 13:55:29
4,301038,深水规院,17.26,20.03,2.88,216182.0,343500466.41,19.89,17.26,14.4,14.52,14.38,4.08,9.69,-32.67,4.54,3850360800.0,3850360800.0,0.0,0.0,0.23,19.78,2025-06-20 13:55:29
5,300429,强力新材,14.27,20.02,2.38,1160889.0,1623030050.86,12.87,14.27,12.74,12.74,11.89,12.9,29.12,-340.3,4.39,7653010304.0,5688660097.0,0.0,0.0,16.87,19.02,2025-06-20 13:55:29
6,300480,光力科技,15.59,20.02,2.6,430617.0,637170575.16,16.4,15.59,13.46,13.52,12.99,16.39,18.2,77.05,4.3,5500613495.0,3689351362.0,0.0,0.0,2.57,20.85,2025-06-20 13:55:29
7,301292,海科新源,23.52,20.0,3.92,289152.0,658550578.82,11.38,23.52,21.29,21.3,19.6,3.88,33.97,-118.54,1.84,5240156699.0,2002021365.0,0.0,0.0,59.03,79.82,2025-06-20 13:55:29
8,300589,江龙船艇,15.12,20.0,2.52,662545.0,933190859.93,22.38,15.12,12.3,12.52,12.6,5.37,28.61,-545.23,6.93,5710340100.0,3501898052.0,0.0,0.0,3.21,21.45,2025-06-20 13:55:29
9,300485,赛升药业,13.94,19.97,2.32,530179.0,701806098.47,17.9,13.94,11.86,11.86,11.62,1.23,19.36,42.0,1.98,6714429616.0,3817011517.0,0.0,0.0,90.44,98.86,2025-06-20 13:55:29
10,300410,正业科技,7.45,19.97,1.24,310050.0,223310455.47,20.29,7.45,6.19,6.19,6.21,3.7,8.45,71.91,12.04,2735005238.0,2733534094.0,0.0,0.0,30.93,38.48,2025-06-20 13:55:29
11,300340,科恒股份,20.45,18.9,3.25,1005772.0,1929964246.08,24.59,20.64,16.41,16.5,17.2,1.91,47.79,609.64,101.25,5642019314.0,4304000293.0,-0.1,-0.24,97.2,114.59,2025-06-20 13:55:29
12,688117,圣诺生物,35.89,15.59,4.84,226834.0,759844130.0,19.74,36.98,30.85,32.48,31.05,2.75,14.41,29.97,5.94,5648582750.0,5648582750.0,-0.17,0.03,115.04,96.77,2025-06-20 13:55:29
13,300462,华铭智能,11.69,14.5,1.48,354424.0,413081535.4,21.74,12.25,10.03,10.21,10.21,4.25,25.92,-117.55,1.49,2118484455.0,1598425288.0,0.43,0.52,18.56,31.05,2025-06-20 13:55:29
14,300695,兆丰股份,64.07,12.11,6.92,64503.0,395282390.17,14.93,65.68,57.15,57.15,57.15,4.32,6.31,52.06,2.54,6551601121.0,6551601121.0,-0.05,-0.05,15.78,108.09,2025-06-20 13:55:29
15,300655,晶瑞电材,9.54,11.84,1.01,1370701.0,1274684104.1,15.83,9.85,8.5,8.5,8.53,11.17,13.74,58.09,4.21,10108316775.0,9516822770.0,-0.1,-0.1,14.11,2.36,2025-06-20 13:55:29
16,300120,经纬辉开,9.17,11.69,0.96,776762.0,688411285.44,12.79,9.3,8.25,8.31,8.21,5.01,14.73,102.73,1.76,5267192329.0,4836689008.0,0.0,-0.11,-5.27,-1.4,2025-06-20 13:55:29
17,300483,首华燃气,14.81,10.69,1.43,654579.0,939862366.75,18.16,15.74,13.31,14.01,13.38,2.04,24.37,47.52,2.14,3977305163.0,3977305163.0,-1.27,-1.2,53.15,50.51,2025-06-20 13:55:29
18,300950,德固特,20.75,10.31,1.94,139186.0,282377882.14,15.74,21.46,18.5,18.94,18.81,2.25,15.4,33.41,4.22,3163960000.0,1875276581.0,0.0,0.29,16.05,30.09,2025-06-20 13:55:29
19,603616,韩建河山,4.46,10.12,0.41,188029.0,79897874.0,10.12,4.46,4.05,4.05,4.05,2.38,4.93,113.16,7.36,1745278280.0,1700901280.0,0.0,0.0,20.87,27.07,2025-06-20 13:55:29
20,600798,宁波海运,4.36,10.1,0.4,1666608.0,707750864.0,13.89,4.36,3.81,3.93,3.96,1.2,13.81,-28.31,1.34,5260489116.0,5260489116.0,0.0,0.0,35.83,43.89,2025-06-20 13:55:29
21,300269,联建光电,6.0,10.09,0.55,1740293.0,1015446168.31,18.72,6.33,5.31,5.44,5.45,2.64,33.11,-184.16,38.12,3294682950.0,3154050618.0,0.0,0.17,44.93,50.75,2025-06-20 13:55:29
22,002067,景兴纸业,3.83,10.06,0.35,1224125.0,466875687.86,3.45,3.83,3.71,3.71,3.48,7.38,10.93,-51.39,0.84,4815068608.0,4289401108.0,0.0,0.0,-5.67,-3.28,2025-06-20 13:55:29
23,600110,诺德股份,5.15,10.04,0.47,1299074.0,661628129.0,5.56,5.15,4.89,4.95,4.68,1.48,7.49,-59.3,1.56,8936181800.0,8936181800.0,0.0,0.0,26.54,28.75,2025-06-20 13:55:29
24,603212,赛伍技术,10.63,10.04,0.97,148740.0,157708639.0,1.45,10.63,10.49,10.49,9.66,3.02,3.4,-35.07,1.76,4650525461.0,4650525461.0,0.0,0.0,-0.19,4.42,2025-06-20 13:55:29
25,002490,山东墨龙,7.02,10.03,0.64,1600584.0,1088079077.21,15.05,7.02,6.06,6.55,6.38,2.18,29.55,258.19,11.25,5600895768.0,3802127648.0,0.0,0.0,88.71,152.52,2025-06-20 13:55:29
26,002125,湘潭电化,12.29,10.03,1.12,139574.0,171536949.89,0.0,12.29,12.29,12.29,11.17,1.21,2.22,40.86,2.63,7736330253.0,7736330253.0,0.0,0.0,14.43,23.89,2025-06-20 13:55:29
27,000695,滨海能源,13.28,10.02,1.21,166471.0,219023376.0,8.7,13.28,12.23,12.23,12.07,1.05,7.51,-74.88,20.07,2950119318.0,2944446434.0,0.0,0.0,26.96,28.31,2025-06-20 13:55:29
28,603022,新通联,9.33,10.02,0.85,59174.0,54122434.0,10.38,9.33,8.45,8.46,8.48,1.78,2.96,37.35,2.35,1866000000.0,1866000000.0,0.0,0.0,14.06,29.22,2025-06-20 13:55:29
29,603155,新亚强,14.39,10.02,1.31,44466.0,62962214.0,8.94,14.39,13.22,13.68,13.08,2.88,1.41,36.83,2.1,4544172052.0,4544172052.0,0.0,0.0,1.27,10.27,2025-06-20 13:55:29
30,603538,美诺华,18.46,10.01,1.68,262563.0,468597473.0,10.13,18.46,16.76,16.76,16.78,0.99,12.31,47.81,1.89,4058029809.0,3937794291.0,0.0,0.0,34.16,45.24,2025-06-20 13:55:29
31,603928,兴业股份,13.74,10.01,1.25,391170.0,517209587.0,8.25,13.74,12.71,13.01,12.49,1.74,14.93,69.17,2.39,3600979200.0,3600979200.0,0.0,0.0,31.61,67.56,2025-06-20 13:55:29
32,601606,长城军工,18.36,10.01,1.67,1109149.0,1968325194.0,11.14,18.36,16.5,16.71,16.69,2.38,15.31,-61.27,6.12,13296833424.0,13296833424.0,0.0,0.0,42.99,56.12,2025-06-20 13:55:29
33,601908,京运通,3.3,10.0,0.3,1574029.0,511893434.0,10.67,3.3,2.98,2.99,3.0,3.02,6.52,-21.79,0.89,7968189441.0,7968189441.0,0.0,0.0,20.88,8.2,2025-06-20 13:55:29
34,603065,宿迁联盛,9.68,10.0,0.88,290467.0,279114439.0,10.45,9.68,8.76,8.78,8.8,2.38,14.77,130.29,2.01,4055606097.0,1903799044.0,0.0,0.0,25.39,35.01,2025-06-20 13:55:29
35,603120,肯特催化,40.81,10.0,3.71,64739.0,257324881.0,10.49,40.81,36.92,37.1,37.1,3.56,29.24,52.54,3.23,3689224000.0,903689376.0,0.0,0.0,172.07,172.07,2025-06-20 13:55:29
36,603161,科华控股,12.98,10.0,1.18,98993.0,126464294.0,10.85,12.98,11.7,11.7,11.8,3.1,5.19,24.64,1.7,2523412011.0,2475918775.0,0.0,0.0,0.85,24.93,2025-06-20 13:55:29
37,002235,安妮股份,9.03,9.99,0.82,2161845.0,1864135527.07,9.99,9.03,8.21,8.21,8.21,1.39,39.05,964.11,6.99,5233537725.0,4998812067.0,0.0,0.0,64.78,72.33,2025-06-20 13:55:29
38,002940,昂利康,31.94,9.99,2.9,172059.0,521369717.01,16.77,31.94,27.07,27.07,29.04,0.77,9.29,101.27,4.16,6443198261.0,5917698416.0,0.0,0.0,140.15,142.34,2025-06-20 13:55:29
39,002579,中京电子,10.9,9.99,0.99,1486245.0,1619667983.77,1.82,10.9,10.72,10.9,9.91,6.33,25.56,246.93,2.77,6677542958.0,6338640965.0,0.0,0.0,27.34,37.97,2025-06-20 13:55:29
40,002800,天顺股份,14.42,9.99,1.31,143403.0,202366439.28,12.28,14.42,12.81,13.04,13.11,1.18,10.12,283.71,4.25,2195489226.0,2042652122.0,0.0,0.0,29.44,39.73,2025-06-20 13:55:29
41,002846,英联股份,13.55,9.98,1.23,446227.0,600321047.16,10.8,13.55,12.22,12.32,12.32,1.97,17.36,128.83,4.1,5690913768.0,3482595201.0,0.0,0.0,37.15,64.84,2025-06-20 13:55:29
42,603948,建业股份,19.61,9.98,1.78,38167.0,73872848.0,10.26,19.61,17.78,17.95,17.83,5.95,2.35,16.05,1.61,3186412565.0,3186412565.0,0.0,0.0,11.23,12.51,2025-06-20 13:55:29
43,601121,宝地矿业,6.28,9.98,0.57,432489.0,267046464.0,9.28,6.28,5.75,5.86,5.71,7.33,11.38,62.67,1.65,5024000000.0,2386400000.0,0.0,0.0,-3.09,-9.77,2025-06-20 13:55:29
44,000995,皇台酒业,14.65,9.98,1.33,253077.0,360422304.0,9.01,14.65,13.45,13.45,13.32,2.03,14.27,189.03,16.69,2599027200.0,2599027200.0,0.0,0.0,9.66,-11.21,2025-06-20 13:55:29
45,603209,兴通股份,16.43,9.97,1.49,266921.0,434624741.0,10.91,16.43,14.8,14.9,14.94,5.96,9.53,18.1,1.67,5339750000.0,4600400000.0,0.0,0.0,1.73,4.12,2025-06-20 13:55:29
46,600876,凯盛新能,11.03,9.97,1.0,108215.0,118147646.0,5.78,11.03,10.45,10.62,10.03,2.78,2.73,-14.23,1.83,7121794842.0,4364294842.0,0.0,0.0,1.66,16.23,2025-06-20 13:55:29
47,002930,宏川智慧,11.91,9.97,1.08,274840.0,317562682.13,11.54,11.91,10.66,10.75,10.83,2.13,6.35,65.01,2.28,5448700969.0,5157247131.0,0.0,0.0,14.63,6.15,2025-06-20 13:55:29
48,002272,川润股份,11.04,9.96,1.0,1246190.0,1361410198.16,6.77,11.04,10.36,10.5,10.04,8.06,32.23,-47.82,3.6,5353045392.0,4269204962.0,0.0,0.0,8.66,12.08,2025-06-20 13:55:29
49,600794,保税科技,4.76,9.93,0.43,1971852.0,911029885.0,11.32,4.76,4.27,4.29,4.33,2.99,16.43,46.47,2.2,5712724267.0,5712724267.0,0.0,0.0,35.23,32.22,2025-06-20 13:55:29
50,000637,茂化实华,4.87,9.93,0.44,786000.0,380723567.82,5.19,4.87,4.64,4.87,4.43,3.03,21.36,-18.05,4.13,2531792984.0,1792229422.0,0.0,0.0,33.79,30.91,2025-06-20 13:55:29
51,002506,协鑫集成,2.55,9.91,0.23,1644421.0,414197532.8,9.48,2.55,2.33,2.33,2.32,1.02,2.81,-18.84,6.98,14918306889.0,14903315375.0,0.0,0.0,0.39,-4.49,2025-06-20 13:55:29
52,300804,广康生化,62.03,9.88,5.58,50105.0,296493370.51,14.15,62.58,54.59,56.59,56.45,0.88,18.22,67.07,3.42,4590220000.0,1705825000.0,-0.88,1.19,151.34,174.96,2025-06-20 13:55:29
53,839719,宁新新材,22.43,9.47,1.94,248687.0,562744765.41,18.94,24.48,20.6,20.7,20.49,1.53,33.98,-29.53,3.19,2088084962.0,1641733839.0,0.0,0.45,96.93,115.26,2025-06-20 13:55:29
54,301150,中一科技,20.23,9.41,1.74,241360.0,495469598.93,20.66,21.99,18.17,18.17,18.49,6.16,20.46,-365.85,1.34,4718313037.0,2386370188.0,-0.25,0.05,24.26,22.68,2025-06-20 13:55:29
55,300046,台基股份,34.77,9.34,2.97,462335.0,1653444123.19,11.01,37.5,34.0,35.36,31.8,5.0,19.55,120.33,7.45,8224195770.0,8224195770.0,-0.66,0.03,8.89,-3.76,2025-06-20 13:55:29
56,688010,福光股份,31.86,9.15,2.67,72726.0,225838012.0,10.48,32.26,29.2,29.2,29.19,3.95,4.53,-64.31,3.06,5115491875.0,5115491875.0,-0.34,-0.72,-11.28,11.79,2025-06-20 13:55:29
57,301511,德福科技,16.78,8.96,1.38,419154.0,686938575.0,12.66,17.29,15.34,15.34,15.4,4.81,11.19,145.28,2.64,10576803160.0,6284874346.0,-0.18,0.12,11.27,33.6,2025-06-20 13:55:29
58,600520,三佳科技,29.69,8.83,2.41,202903.0,591785016.0,10.04,30.01,27.27,27.27,27.28,7.98,12.81,-275.72,12.5,4703786700.0,4703786700.0,0.0,0.03,-11.37,-2.66,2025-06-20 13:55:29
59,300121,阳谷华泰,14.41,8.51,1.13,594913.0,843903839.15,10.39,14.91,13.53,13.53,13.28,5.44,13.74,25.84,1.86,6467368225.0,6239238486.0,-0.41,-0.28,13.29,20.59,2025-06-20 13:55:29
60,920106,林泰新材,101.75,8.38,7.87,13270.0,131647469.96,9.61,102.48,93.46,93.5,93.88,2.15,7.83,37.02,12.06,5680549875.0,1724463375.0,0.4,0.48,67.93,139.81,2025-06-20 13:55:29
61,688093,世华科技,28.97,8.18,2.19,51999.0,146709322.0,12.51,30.0,26.65,26.79,26.78,2.43,1.98,21.82,3.8,7608429109.0,7608429109.0,0.35,0.07,24.02,44.63,2025-06-20 13:55:29
62,002317,众生药业,15.93,7.93,1.17,1162175.0,1794169193.66,11.72,16.24,14.51,14.99,14.76,1.85,15.26,41.05,3.55,13565294679.0,12132565278.0,-0.13,0.76,43.26,33.31,2025-06-20 13:55:29
63,301658,首航新能,30.01,7.56,2.11,129278.0,395138262.24,18.64,32.8,27.6,27.8,27.9,3.68,33.38,58.95,3.55,12375257761.0,1162227550.0,-0.1,-0.1,157.16,157.16,2025-06-20 13:55:29
64,688313,仕佳光子,38.76,7.4,2.67,458793.0,1747923145.0,11.33,39.95,35.86,36.38,36.09,2.17,10.0,47.7,14.06,17783178233.0,17783178233.0,0.1,-0.05,128.13,137.35,2025-06-20 13:55:29
65,833171,国航远洋,13.66,7.39,0.94,680922.0,926989331.37,15.49,14.32,12.35,12.52,12.72,1.22,23.73,-122.93,5.64,7586865808.0,3919579213.0,-1.16,-1.23,60.71,125.79,2025-06-20 13:55:29
66,300841,康华生物,62.16,7.38,4.27,68264.0,416095697.28,8.27,62.98,58.19,58.19,57.89,3.29,5.6,99.77,2.48,8263979242.0,7576953791.0,-0.11,-0.16,7.67,16.1,2025-06-20 13:55:29
67,688627,精智达,80.3,7.28,5.45,35426.0,277024600.0,7.01,80.88,75.63,77.0,74.85,3.24,4.96,-116.39,4.49,7549143846.0,5734349071.0,-0.12,0.12,13.42,10.14,2025-06-20 13:55:29
68,600773,西藏城投,9.72,7.28,0.66,258758.0,243091770.0,8.06,9.76,9.03,9.04,9.06,4.25,2.72,-67.25,1.92,9249424328.0,9249424328.0,0.21,0.31,-7.34,-9.83,2025-06-20 13:55:29
69,600113,浙江东日,20.18,7.28,1.37,296831.0,570259888.0,13.88,20.61,18.0,18.14,18.81,2.32,7.21,84.22,3.49,8499344999.0,8302680809.0,-0.98,-1.03,53.34,46.23,2025-06-20 13:55:29
70,688267,中触媒,29.5,7.16,1.97,64800.0,185241111.0,8.86,29.59,27.15,27.53,27.53,2.18,6.98,31.92,1.92,5197900000.0,2737811191.0,0.37,0.34,16.32,27.37,2025-06-20 13:55:29
71,300584,海辰药业,38.66,7.09,2.56,191487.0,725635364.48,14.21,40.68,35.55,36.45,36.1,1.13,23.32,77.13,4.52,4639200000.0,3174570578.0,0.05,0.16,99.07,92.72,2025-06-20 13:55:29
72,920489,佳先股份,23.1,7.04,1.52,111843.0,258117483.13,11.86,24.15,21.59,21.59,21.58,3.43,13.05,140.97,6.27,3152207520.0,1979525602.0,-0.3,-0.86,10.16,40.85,2025-06-20 13:55:29
73,003040,楚天龙,22.69,6.98,1.48,1199341.0,2523413706.91,18.34,22.98,19.09,19.99,21.21,1.65,26.25,142.39,7.15,10463175205.0,10365932354.0,0.84,2.39,73.47,74.0,2025-06-20 13:55:29
74,301132,满坤科技,34.2,6.84,2.19,201819.0,676071378.33,14.71,36.36,31.65,32.04,32.01,3.26,43.87,44.92,2.92,5064549716.0,1573443743.0,0.03,-0.29,22.67,26.29,2025-06-20 13:55:29
75,603256,宏和科技,13.29,6.83,0.85,282266.0,359758631.0,12.06,13.61,12.11,12.5,12.44,1.81,3.21,94.67,7.89,11691578475.0,11691578475.0,0.23,-0.82,46.37,59.16,2025-06-20 13:55:29
76,300130,新国都,29.34,6.81,1.87,735617.0,2132752845.9,14.78,30.98,26.92,27.51,27.47,1.73,16.94,26.6,3.82,16644556269.0,12740761004.0,0.31,0.27,30.17,35.46,2025-06-20 13:55:29
77,603151,邦基科技,21.22,6.63,1.32,165588.0,354279404.0,11.11,21.89,19.68,19.68,19.9,2.89,20.49,31.83,2.8,3564960000.0,1715255040.0,-0.75,-0.52,75.37,111.99,2025-06-20 13:55:29
78,002741,光华科技,19.5,6.62,1.21,514623.0,1001296351.71,11.04,20.12,18.1,18.1,18.29,2.06,12.07,89.91,4.88,9067935045.0,8313989093.0,0.1,0.05,14.04,18.04,2025-06-20 13:55:29
79,002057,中钢天源,8.89,6.59,0.55,584269.0,517603749.41,6.12,9.06,8.55,8.55,8.34,2.76,7.75,25.55,2.13,6742911879.0,6701230314.0,-0.22,-0.56,0.79,23.13,2025-06-20 13:55:29
80,873706,铁拓机械,18.5,6.57,1.14,26727.0,48238192.02,7.95,18.58,17.2,17.53,17.36,1.5,6.31,38.64,3.11,1709497033.0,783417095.0,-0.05,-0.38,3.35,53.15,2025-06-20 13:55:29
81,600493,凤竹纺织,5.98,6.41,0.36,195985.0,114474750.0,9.07,6.04,5.53,5.61,5.62,3.61,7.21,143.99,1.46,1626560000.0,1626560000.0,-0.17,-0.17,7.75,15.67,2025-06-20 13:55:29
82,300260,新莱应材,30.76,6.4,1.85,329780.0,1012117803.83,5.5,31.29,29.7,29.81,28.91,3.75,11.47,61.51,6.28,12544135692.0,8847712428.0,-0.19,-0.29,21.44,13.55,2025-06-20 13:55:29
83,833914,远航精密,23.36,6.38,1.4,116063.0,270295617.83,12.75,24.5,21.7,21.96,21.96,2.12,11.61,35.7,2.54,2336000000.0,2336000000.0,1.48,0.09,31.98,46.73,2025-06-20 13:55:29
84,603688,石英股份,36.56,6.34,2.18,352544.0,1261054944.0,6.78,36.71,34.38,34.63,34.38,1.8,6.51,93.86,3.46,19803758246.0,19803758246.0,0.27,-0.22,28.69,28.1,2025-06-20 13:55:29
85,300252,金信诺,11.08,6.33,0.66,624384.0,670449707.5,10.84,11.29,10.16,10.36,10.42,2.38,11.79,573.33,3.38,7336664481.0,5869936772.0,-0.72,0.27,-8.13,2.97,2025-06-20 13:55:29
86,833873,中设咨询,6.43,6.28,0.38,134346.0,85063313.99,8.43,6.57,6.06,6.07,6.05,1.78,12.19,-22.6,3.24,986278423.0,708608614.0,0.16,-0.31,11.63,45.48,2025-06-20 13:55:29
87,603800,洪田股份,24.03,6.28,1.42,100767.0,240578775.0,8.93,24.38,22.36,22.69,22.61,4.02,4.84,-49.49,6.3,4998240000.0,4998240000.0,0.04,0.0,-24.43,-4.83,2025-06-20 13:55:29
88,301012,扬电科技,19.78,6.23,1.16,150460.0,291433568.99,8.0,19.95,18.46,18.49,18.62,1.91,9.59,64.49,3.4,3895872004.0,3102080824.0,-0.25,-0.35,1.38,11.19,2025-06-20 13:55:29
89,603867,新化股份,25.28,6.22,1.48,51409.0,126847487.0,7.27,25.45,23.72,23.8,23.8,2.06,2.67,17.02,2.09,4873326442.0,4873326442.0,-0.59,-0.2,-1.29,5.6,2025-06-20 13:55:29
90,002068,黑猫股份,10.01,6.15,0.58,264628.0,261646490.43,9.01,10.22,9.37,9.43,9.43,3.25,3.6,-51.81,2.57,7360805412.0,7351452318.0,0.1,0.4,-12.58,-5.92,2025-06-20 13:55:29
91,301217,铜冠铜箔,12.04,6.08,0.69,289096.0,347988900.76,10.13,12.49,11.34,11.34,11.35,5.17,12.62,525.17,1.85,9981347150.0,2757347150.0,-0.08,-0.17,5.15,8.66,2025-06-20 13:55:29
92,300778,新城市,12.04,6.08,0.69,125862.0,149536808.17,11.45,12.48,11.18,11.35,11.35,3.78,6.18,104.47,1.92,2456883195.0,2451578611.0,-0.08,-0.33,2.91,7.89,2025-06-20 13:55:29
93,600857,宁波中百,9.88,6.01,0.56,64360.0,61635535.0,7.83,9.89,9.16,9.32,9.32,2.16,2.87,112.16,2.67,2216280800.0,2216280800.0,0.51,0.51,12.66,6.24,2025-06-20 13:55:29
94,601778,晶科科技,2.84,5.97,0.16,1325079.0,369826803.0,8.96,2.91,2.67,2.68,2.68,2.92,3.71,-72.71,0.66,10141560389.0,10141560389.0,-0.35,-0.35,-1.39,0.71,2025-06-20 13:55:29
95,600199,金种子酒,11.03,5.96,0.62,473902.0,517039709.0,9.41,11.29,10.31,10.41,10.41,3.27,7.2,-46.6,3.4,7255498969.0,7255498969.0,1.01,0.82,-4.17,-17.07,2025-06-20 13:55:29
96,601869,长飞光纤,39.31,5.96,2.21,148778.0,571488760.0,8.52,39.5,36.34,37.15,37.1,3.43,3.66,49.1,2.53,29793249795.0,15973159123.0,-0.08,-0.2,11.49,31.52,2025-06-20 13:55:29
97,301322,绿通科技,28.07,5.92,1.57,55594.0,155316919.58,8.98,28.88,26.5,26.5,26.5,2.64,5.98,35.36,1.44,3998796285.0,2610673087.0,0.07,1.34,8.97,30.62,2025-06-20 13:55:29
98,603125,常青科技,15.78,5.91,0.88,111612.0,173090117.0,8.26,15.99,14.76,14.9,14.9,2.3,11.03,45.14,2.74,6388317998.0,1597162443.0,-0.06,0.19,18.91,20.09,2025-06-20 13:55:29
99,605389,长龄液压,40.0,5.9,2.23,41375.0,161372965.0,6.96,40.26,37.63,37.7,37.77,2.03,3.04,46.74,2.76,5763482800.0,5450670400.0,-0.02,-0.07,31.28,51.92,2025-06-20 13:55:29
100,600172,黄河旋风,4.33,5.87,0.24,905840.0,392727016.0,9.78,4.5,4.1,4.13,4.09,2.47,7.1,-9.33,4.65,6244658781.0,5526187398.0,0.0,-0.23,-1.14,4.09,2025-06-20 13:55:29
101,600288,大恒科技,9.71,5.77,0.53,277170.0,263962401.0,6.97,9.8,9.16,9.2,9.18,5.16,6.35,-128.71,2.32,4241328000.0,4241328000.0,0.52,0.41,2.64,13.7,2025-06-20 13:55:29
102,300142,沃森生物,11.04,5.75,0.6,916034.0,1007290104.8,8.14,11.31,10.46,10.48,10.44,2.23,5.87,1668.1,1.88,17656807893.0,17215889171.0,-0.18,-0.27,-4.08,-8.53,2025-06-20 13:55:29
103,603680,今创集团,11.8,5.73,0.64,141273.0,163689265.0,5.2,11.86,11.28,11.28,11.16,1.75,1.8,15.48,1.73,9247881451.0,9247881451.0,0.17,0.17,38.5,44.79,2025-06-20 13:55:29
104,603198,迎驾贡酒,40.74,5.68,2.19,207619.0,835660034.0,6.9,41.21,38.55,38.68,38.55,3.83,2.6,9.83,3.44,32592000000.0,32592000000.0,0.05,-0.02,-28.25,-24.47,2025-06-20 13:55:29
105,603291,联合水务,11.59,5.65,0.62,105634.0,120981872.0,9.48,12.05,11.01,11.01,10.97,4.45,8.13,97.89,2.84,4905126800.0,1506040262.0,0.09,-0.52,-19.01,0.96,2025-06-20 13:55:29
106,300647,超频三,6.56,5.64,0.35,616450.0,402256284.9,9.34,6.81,6.23,6.23,6.21,4.39,13.5,147.57,5.21,3000025917.0,2995572458.0,0.15,0.0,5.81,6.67,2025-06-20 13:55:29
107,688726,拉普拉斯,42.5,5.56,2.24,48524.0,208420120.0,8.57,43.8,40.35,40.35,40.26,4.37,13.36,17.08,4.72,17226363033.0,1543236625.0,-0.12,-0.19,-6.49,-4.77,2025-06-20 13:55:29
108,002026,山东威达,11.62,5.54,0.61,256159.0,295799373.55,7.81,11.85,10.99,11.0,11.01,4.18,5.98,21.85,1.4,5179072799.0,4975279031.0,-0.09,-0.09,-9.22,18.09,2025-06-20 13:55:29
109,001317,三羊马,41.64,5.5,2.17,26659.0,108349719.2,6.76,41.83,39.16,39.16,39.47,1.85,6.35,-502.69,4.13,3333127765.0,1748279468.0,0.46,0.43,24.26,49.95,2025-06-20 13:55:29
110,603069,海汽集团,21.5,5.5,1.12,186138.0,402602038.0,10.75,22.39,20.2,20.39,20.38,1.98,5.89,-87.02,8.59,6794000000.0,6794000000.0,0.66,0.66,10.82,17.74,2025-06-20 13:55:29
111,870508,丰安股份,20.91,5.5,1.09,24353.0,50150876.7,9.74,21.59,19.66,19.73,19.82,3.27,5.95,31.72,2.74,1301438400.0,855209549.0,-0.1,-0.33,22.0,67.41,2025-06-20 13:55:29
112,600378,昊华科技,26.55,5.44,1.37,128361.0,336359665.0,4.61,26.7,25.54,25.79,25.18,3.95,1.41,46.35,1.98,34249489911.0,24194352339.0,-0.04,-0.11,-1.45,-8.16,2025-06-20 13:55:29
113,600604,市北高新,4.9,5.38,0.25,469347.0,228444353.0,11.83,5.12,4.57,4.65,4.65,2.05,3.33,-58.41,1.44,9179193540.0,6896528540.0,0.2,-0.2,0.82,2.94,2025-06-20 13:55:29
114,002457,青龙管业,12.78,5.36,0.65,408372.0,515007673.27,5.85,12.99,12.28,12.29,12.13,3.46,12.25,-198.58,1.76,4261961304.0,4259850674.0,0.39,0.47,7.04,11.32,2025-06-20 13:55:29
115,000672,上峰水泥,8.08,5.35,0.41,168557.0,134493217.91,6.52,8.23,7.73,7.74,7.67,3.98,1.74,24.5,0.93,7832715236.0,7832715236.0,0.12,0.25,12.22,14.94,2025-06-20 13:55:29
116,300465,高伟达,15.38,5.34,0.78,341644.0,497581219.17,10.21,15.39,13.9,14.5,14.6,1.12,7.7,-161.9,10.67,6824865111.0,6824865111.0,1.05,1.12,-6.5,-16.23,2025-06-20 13:55:29
117,300468,四方精创,40.02,5.32,2.02,1400039.0,5276867935.86,15.76,41.0,35.01,36.2,38.0,1.16,26.43,411.67,13.29,21236583986.0,21202358481.0,0.73,0.81,146.88,147.04,2025-06-20 13:55:29
118,603167,渤海轮渡,10.8,5.26,0.54,185166.0,196786781.0,6.73,10.86,10.17,10.3,10.26,1.31,3.95,20.44,1.38,5066760632.0,5066760632.0,-0.09,-0.09,23.85,25.29,2025-06-20 13:55:29
119,688379,华光新材,32.02,5.23,1.59,27965.0,87487802.0,6.18,32.23,30.35,30.5,30.43,1.53,3.1,7.56,2.7,2884538350.0,2884538350.0,0.19,0.85,25.03,58.91,2025-06-20 13:55:29
120,603818,曲美家居,4.25,5.2,0.21,547561.0,228667596.0,11.39,4.32,3.86,4.04,4.04,0.82,7.98,-172.18,1.33,2927662884.0,2917811384.0,0.0,0.0,37.99,56.25,2025-06-20 13:55:29
121,002005,ST德豪,2.04,5.15,0.1,246010.0,49631105.04,5.67,2.04,1.93,1.94,1.94,0.7,1.4,1082.58,18.34,3574946710.0,3574066042.0,0.0,0.0,15.25,22.16,2025-06-20 13:55:29
